feature,mean_abs_shap
cat__dns_query_ns2.canonical.com,0.0
cat__dns_query_ns2.equant.net,0.0
cat__dns_query_ns2prod.6893.azuredns-prd.org,0.0
cat__dns_query_ns2.ix.asn.au,0.0
cat__dns_query_ns2.reverse.deploy.akamaitechnologies.com,0.0
cat__dns_query_ns2.zdns.google,0.0
cat__dns_query_ns2prod.11193.azuredns-prd.info,0.0
cat__dns_query_ns2prod.11193.azuredns-prd.org,0.0
cat__dns_query_ns2prod.11194.azuredns-prd.info,0.0
cat__dns_query_ns2prod.11194.azuredns-prd.org,0.0
cat__dns_query_ns2prod.18.azuredns-prd.info,0.0
cat__dns_query_ns2prod.18.azuredns-prd.org,0.0
cat__dns_query_ns2prod.6618.azuredns-prd.info,0.0
cat__dns_query_ns2prod.6893.azuredns-prd.info,0.0
cat__dns_query_ocsp.godaddy.com,0.0
cat__dns_query_ocsp.pki.goog,0.0
cat__dns_query_ocsp.sca1b.amazontrust.com,0.0
cat__dns_query_s-0001.s-msedge.net,0.0
cat__dns_query_prod-cdn.sumo.mozilla.net,0.0
cat__dns_query_prod.normandy.prod.cloudops.mozgcp.net,0.0
cat__dns_query_protected-by.clarium.io,0.0
cat__dns_query_puck.nether.net,0.0
cat__dns_query_push.services.mozilla.com,0.0
cat__dns_query_qvxvqfowvat,0.0
cat__dns_query_rbp.mxptint.net,0.0
cat__dns_query_redirector.gvt1.com,0.0
cat__dns_query_referrer.disqus.com,0.0
cat__dns_query_widgets.wp.com,0.0
cat__dns_query_rtb2.doubleverify.com,0.0
cat__dns_query_s-microsoft.com,0.0
cat__dns_query_ocsp.sectigo.com,0.0
cat__dns_query_s-msedge.net,0.0
cat__dns_query_s.amazon-adsystem.com,0.0
cat__dns_query_s.twitter.com,0.0
cat__dns_query_s0.2mdn.net,0.0
cat__dns_query_s0.wp.com,0.0
cat__dns_query_safebrowsing-cache.google.com,0.0
cat__dns_query_safebrowsing.cache.l.google.com,0.0
cat__dns_query_safebrowsing.google.com,0.0
