threshold,accuracy,balanced_accuracy,precision,recall,f1,tn,fp,fn,tp,fpr,pred_positive_rate
0.21,0.9998775003062492,0.9989013811827274,0.9999088123723373,0.9999635229531817,0.9999361669143998,2309,5,2,54827,0.00216076058772688,0.9595576011059972
0.22,0.9998775003062492,0.9989013811827274,0.9999088123723373,0.9999635229531817,0.9999361669143998,2309,5,2,54827,0.00216076058772688,0.9595576011059972
0.23,0.9998775003062492,0.9989013811827274,0.9999088123723373,0.9999635229531817,0.9999361669143998,2309,5,2,54827,0.00216076058772688,0.9595576011059972
0.24,0.9998775003062492,0.9991083379797956,0.9999270472369141,0.9999452844297726,0.9999361657501892,2310,4,3,54826,0.001728608470181504,0.959522601193497
0.25,0.9998775003062492,0.9991083379797956,0.9999270472369141,0.9999452844297726,0.9999361657501892,2310,4,3,54826,0.001728608470181504,0.959522601193497
0.26,0.9998600003499991,0.9990992187180909,0.9999270459063634,0.9999270459063634,0.9999270459063634,2310,4,4,54825,0.001728608470181504,0.9595051012372469
0.27,0.9998600003499991,0.9990992187180909,0.9999270459063634,0.9999270459063634,0.9999270459063634,2310,4,4,54825,0.001728608470181504,0.9595051012372469
0.28,0.9998600003499991,0.9990992187180909,0.9999270459063634,0.9999270459063634,0.9999270459063634,2310,4,4,54825,0.001728608470181504,0.9595051012372469
0.29,0.9998600003499991,0.9990992187180909,0.9999270459063634,0.9999270459063634,0.9999270459063634,2310,4,4,54825,0.001728608470181504,0.9595051012372469
0.3,0.9998600003499991,0.9990992187180909,0.9999270459063634,0.9999270459063634,0.9999270459063634,2310,4,4,54825,0.001728608470181504,0.9595051012372469
0.31,0.9998250004374989,0.9990809801946818,0.9999270432451165,0.9998905688595451,0.9999088057197053,2310,4,6,54823,0.001728608470181504,0.9594701013247466
0.32,0.9998250004374989,0.9990809801946818,0.9999270432451165,0.9998905688595451,0.9999088057197053,2310,4,6,54823,0.001728608470181504,0.9594701013247466
0.33,0.9998250004374989,0.9990809801946818,0.9999270432451165,0.9998905688595451,0.9999088057197053,2310,4,6,54823,0.001728608470181504,0.9594701013247466
0.34,0.9998250004374989,0.9990809801946818,0.9999270432451165,0.9998905688595451,0.9999088057197053,2310,4,6,54823,0.001728608470181504,0.9594701013247466
0.35,0.9998250004374989,0.9990809801946818,0.9999270432451165,0.9998905688595451,0.9999088057197053,2310,4,6,54823,0.001728608470181504,0.9594701013247466
0.36,0.9998250004374989,0.99928793699175,0.9999452804377565,0.999872330336136,0.9999088040563956,2311,3,7,54822,0.0012964563526361278,0.9594351014122464
0.37,0.9997900005249987,0.9992696984683408,0.99994527844153,0.9998358532893177,0.9998905628716303,2311,3,9,54820,0.0012964563526361278,0.9594001014997463
0.38,0.9997725005687486,0.9992605792066362,0.9999452774433621,0.9998176147659086,0.9998814420297124,2311,3,10,54819,0.0012964563526361278,0.9593826015434962
0.39,0.9998250004374989,0.9999088073829543,1.0,0.9998176147659086,0.9999087990661024,2314,0,10,54819,0.0,0.9593301016747459
0.4,0.9997900005249987,0.9998905688595452,1.0,0.9997811377190903,0.99989055688306,2314,0,12,54817,0.0,0.9592951017622456
0.41,0.9997725005687486,0.9998814495978405,1.0,0.9997628991956811,0.9998814355419764,2314,0,13,54816,0.0,0.9592776018059955
0.42,0.9997375006562483,0.9998632110744314,1.0,0.9997264221488629,0.9998631923606615,2314,0,15,54814,0.0,0.9592426018934953
0.43,0.9997025007437481,0.9998449725510223,1.0,0.9996899451020446,0.9998449485137859,2314,0,17,54812,0.0,0.9592076019809951
0.44,0.9996675008312479,0.9998267340276131,1.0,0.9996534680552263,0.9998267040013133,2314,0,19,54810,0.0,0.9591726020684949
0.45,0.9995975010062474,0.9997902569807948,1.0,0.9995805139615896,0.9997902129794317,2314,0,23,54806,0.0,0.9591026022434944
0.46,0.9995100012249969,0.999744660672272,1.0,0.9994893213445439,0.9997445954574478,2314,0,28,54801,0.0,0.9590151024622439
0.47,0.9993700015749961,0.9996717065786354,1.0,0.9993434131572708,0.9996715987666709,2314,0,36,54793,0.0,0.958875102812243
0.48,0.9991075022312444,0.9995349176530668,1.0,0.9990698353061336,0.9995347012508325,2314,0,51,54778,0.0,0.9586126034684913
0.49,0.9981800045499887,0.9990515967827245,1.0,0.998103193565449,0.9990506964601932,2314,0,104,54725,0.0,0.9576851057872355
0.5,0.9938925152687118,0.9968173776651043,1.0,0.9936347553302085,0.9968072162401999,2314,0,349,54480,0.0,0.9533976165059588
0.51,0.6887282781793046,0.8377956920607708,1.0,0.6755913841215415,0.8063915707894765,2314,0,17787,37042,0.0,0.6482333794165515
0.52,0.6831457921355196,0.8348866475770121,1.0,0.6697732951540243,0.8022326109751835,2314,0,18106,36723,0.0,0.6426508933727666
0.53,0.6823057942355144,0.8344489230151927,1.0,0.6688978460303854,0.8016043014513027,2314,0,18154,36675,0.0,0.6418108954727613
0.54,0.6819557951105122,0.8342665377811013,1.0,0.6685330755622025,0.8013423112238206,2314,0,18174,36655,0.0,0.6414608963477592
0.55,0.6816932957667606,0.8341297488555326,1.0,0.6682594977110653,0.801145743366605,2314,0,18189,36640,0.0,0.6411983970040075
0.56,0.6815007962480094,0.8340294369767823,1.0,0.6680588739535647,0.8010015526252487,2314,0,18200,36629,0.0,0.6410058974852563
0.57,0.6813782965542586,0.8339656021448503,1.0,0.6679312042897007,0.8009097768203738,2314,0,18207,36622,0.0,0.6408833977915055
0.58,0.6812557968605079,0.8339017673129183,1.0,0.6678035346258367,0.8008179869646997,2314,0,18214,36615,0.0,0.6407608980977547
0.59,0.6811857970355074,0.8338652902661001,1.0,0.6677305805322001,0.8007655293088364,2314,0,18218,36611,0.0,0.6406908982727543
0.6,0.681115797210507,0.8338288132192817,1.0,0.6676576264385635,0.8007130670633011,2314,0,18222,36607,0.0,0.6406208984477538
0.61,0.6810632973417566,0.8338014554341681,1.0,0.6676029108683361,0.800673717366815,2314,0,18225,36604,0.0,0.6405683985790036
0.62,0.6809932975167562,0.8337649783873498,1.0,0.6675299567746995,0.8006212470879043,2314,0,18229,36600,0.0,0.6404983987540032
0.63,0.6809407976480059,0.833737620602236,1.0,0.6674752412044721,0.8005818913656947,2314,0,18232,36597,0.0,0.6404458988852528
0.64,0.6808182979542551,0.833673785770304,1.0,0.6673475715406081,0.8004900513022457,2314,0,18239,36590,0.0,0.640323399191502
0.65,0.680800797998005,0.8336646665085994,1.0,0.6673293330171989,0.8004769301450481,2314,0,18240,36589,0.0,0.6403058992352519
0.66,0.6807482981292546,0.8336373087234857,1.0,0.6672746174469715,0.8004375649510475,2314,0,18243,36586,0.0,0.6402533993665016
0.67,0.6806607983480041,0.8335917124149629,1.0,0.6671834248299258,0.8003719505524559,2314,0,18248,36581,0.0,0.640165899585251
0.68,0.6806082984792537,0.8335643546298492,1.0,0.6671287092596984,0.8003325784677322,2314,0,18251,36578,0.0,0.6401133997165007
0.69,0.6805732985667536,0.83354611610644,1.0,0.66709223221288,0.800306328975439,2314,0,18253,36576,0.0,0.6400783998040005
0.7,0.6805032987417532,0.8335096390596217,1.0,0.6670192781192434,0.8002538265445673,2314,0,18257,36572,0.0,0.640008399979
0.71,0.680468298829253,0.8334914005362126,1.0,0.6669828010724251,0.8002275736058382,2314,0,18259,36570,0.0,0.6399734000664998
0.72,0.6804157989605026,0.8334640427510989,1.0,0.6669280855021977,0.8001881920434155,2314,0,18262,36567,0.0,0.6399209001977495
0.73,0.6803982990042525,0.8334549234893943,1.0,0.6669098469787886,0.8001750642814158,2314,0,18263,36566,0.0,0.6399034002414994
0.74,0.6803807990480024,0.8334458042276898,1.0,0.6668916084553794,0.8001619362321378,2314,0,18264,36565,0.0,0.6398859002852493
0.75,0.6803457991355022,0.8334275657042806,1.0,0.6668551314085611,0.8001356792717087,2314,0,18266,36563,0.0,0.639850900372749
0.76,0.680310799223002,0.8334093271808715,1.0,0.6668186543617429,0.8001094211620527,2314,0,18268,36561,0.0,0.6398159004602488
0.77,0.6802407993980015,0.8333728501340532,1.0,0.6667457002681063,0.8000569014947585,2314,0,18272,36557,0.0,0.6397459006352484
0.78,0.6802057994855013,0.8333546116106441,1.0,0.666709223221288,0.8000306399369693,2314,0,18274,36555,0.0,0.6397109007227482
0.79,0.680153299616751,0.8333272538255303,1.0,0.6666545076510606,0.7999912454448955,2314,0,18277,36552,0.0,0.6396584008539978
