campaign_id,nodes,edges,cyber_nodes,video_nodes,hub_nodes,mean_score,max_score
379,1,0,0,0,1,0.07260891125457133,0.07260891125457133
566,1,0,0,0,1,0.07247446589640519,0.07247446589640519
1054,1,0,0,0,1,0.07219118353527035,0.07219118353527035
1935,1,0,0,0,1,0.07146157491333899,0.07146157491333899
2312,1,0,0,0,1,0.07135621483622809,0.07135621483622809
145,1,0,0,0,1,0.07108298016587344,0.07108298016587344
1463,1,0,0,0,1,0.0706109173576916,0.0706109173576916
473,1,0,0,0,1,0.07060019501008792,0.07060019501008792
2091,1,0,0,0,1,0.07017193011059852,0.07017193011059852
842,1,0,0,0,1,0.07017014372448693,0.07017014372448693
912,1,0,0,0,1,0.0698962000886143,0.0698962000886143
2023,1,0,0,0,1,0.06976162753560042,0.06976162753560042
1354,1,0,0,0,1,0.06946112733779819,0.06946112733779819
1813,1,0,0,0,1,0.06939115779601357,0.06939115779601357
227,1,0,0,0,1,0.0693358983731695,0.0693358983731695
2486,1,0,0,0,1,0.06847956947567371,0.06847956947567371
235,1,0,0,0,1,0.06820510247377068,0.06820510247377068
815,1,0,0,0,1,0.06785367796562719,0.06785367796562719
971,1,0,0,0,1,0.06702386758281445,0.06702386758281445
163,1,0,0,0,1,0.06665820105471734,0.06665820105471734
2248,1,0,0,0,1,0.06665669622193751,0.06665669622193751
2005,1,0,0,0,1,0.06636740967774887,0.06636740967774887
1520,1,0,0,0,1,0.06602005769198968,0.06602005769198968
446,1,0,0,0,1,0.06583471013493321,0.06583471013493321
1116,1,0,0,0,1,0.06535867591420537,0.06535867591420537
799,1,0,0,0,1,0.06518476387317682,0.06518476387317682
389,1,0,0,0,1,0.06497014697479747,0.06497014697479747
2649,1,0,0,0,1,0.06446731544566164,0.06446731544566164
2352,1,0,0,0,1,0.06442634716069906,0.06442634716069906
440,1,0,0,0,1,0.06409183928292606,0.06409183928292606
1122,1,0,0,0,1,0.0637329364184683,0.0637329364184683
507,1,0,0,0,1,0.06366815626305979,0.06366815626305979
1796,1,0,0,0,1,0.06359132610421789,0.06359132610421789
1030,1,0,0,0,1,0.06316367912119089,0.06316367912119089
999,1,0,0,0,1,0.06284230792675115,0.06284230792675115
692,1,0,0,0,1,0.06264263171035475,0.06264263171035475
39,1,0,0,0,1,0.06178281455300433,0.06178281455300433
1591,1,0,0,0,1,0.06162876387732573,0.06162876387732573
1134,1,0,0,0,1,0.061608663969519584,0.061608663969519584
1176,1,0,0,0,1,0.06122782378069843,0.06122782378069843
581,1,0,0,0,1,0.06098350948906957,0.06098350948906957
1684,1,0,0,0,1,0.06084218825999792,0.06084218825999792
656,1,0,0,0,1,0.06037799749868545,0.06037799749868545
1827,1,0,0,0,1,0.06036129560651101,0.06036129560651101
679,1,0,0,0,1,0.060353911612975486,0.060353911612975486
1547,1,0,0,0,1,0.059727152282007416,0.059727152282007416
1659,1,0,0,0,1,0.05860026633868833,0.05860026633868833
551,1,0,0,0,1,0.0585898958920219,0.0585898958920219
1664,1,0,0,0,1,0.05854333991055425,0.05854333991055425
1394,1,0,0,0,1,0.0584724726866797,0.0584724726866797
1127,1,0,0,0,1,0.05843554327339522,0.05843554327339522
2558,1,0,0,0,1,0.057865802902298334,0.057865802902298334
1346,1,0,0,0,1,0.05768591267809365,0.05768591267809365
1968,1,0,0,0,1,0.05740706193833397,0.05740706193833397
1905,1,0,0,0,1,0.05727747587884201,0.05727747587884201
861,1,0,0,0,1,0.05716591196856509,0.05716591196856509
90,1,0,0,0,1,0.0569158011802483,0.0569158011802483
1634,1,0,0,0,1,0.05676081699925458,0.05676081699925458
1242,1,0,0,0,1,0.05621782900579943,0.05621782900579943
1608,1,0,0,0,1,0.05605331799170651,0.05605331799170651
2589,1,0,0,0,1,0.055709225298385144,0.055709225298385144
1665,1,0,0,0,1,0.05558482754497498,0.05558482754497498
350,1,0,0,0,1,0.055381619421999366,0.055381619421999366
272,1,0,0,0,1,0.05505968468283633,0.05505968468283633
1702,1,0,0,0,1,0.05500348931583397,0.05500348931583397
1577,1,0,0,0,1,0.055000673757360445,0.055000673757360445
1009,1,0,0,0,1,0.0549125525859917,0.0549125525859917
1441,1,0,0,0,1,0.054868781875437075,0.054868781875437075
85,1,0,0,0,1,0.054502672248015235,0.054502672248015235
2139,1,0,0,0,1,0.053745691045790266,0.053745691045790266
134,1,0,0,0,1,0.053461889005036865,0.053461889005036865
2525,1,0,0,0,1,0.05345245521701503,0.05345245521701503
129,1,0,0,0,1,0.053217265257493325,0.053217265257493325
2210,1,0,0,0,1,0.053158305952918365,0.053158305952918365
2006,1,0,0,0,1,0.0530231888029137,0.0530231888029137
1938,1,0,0,0,1,0.05294854930228562,0.05294854930228562
1747,1,0,0,0,1,0.05285353353619659,0.05285353353619659
560,1,0,0,0,1,0.052679834425717824,0.052679834425717824
1597,1,0,0,0,1,0.05220666345790239,0.05220666345790239
2345,1,0,0,0,1,0.051970166879110206,0.051970166879110206
2458,1,0,0,0,1,0.05159413445130757,0.05159413445130757
1633,1,0,0,0,1,0.05140525134699876,0.05140525134699876
601,1,0,0,0,1,0.05126345221781595,0.05126345221781595
955,1,0,0,0,1,0.05121988234254992,0.05121988234254992
2333,1,0,0,0,1,0.05086392653568287,0.05086392653568287
225,1,0,0,0,1,0.05019035134526254,0.05019035134526254
1524,1,0,0,0,1,0.04910837513048531,0.04910837513048531
2268,1,0,0,0,1,0.04908731970150735,0.04908731970150735
1426,1,0,0,0,1,0.04862757300778555,0.04862757300778555
1197,1,0,0,0,1,0.04832360109781963,0.04832360109781963
2380,1,0,0,0,1,0.04828523601817259,0.04828523601817259
2370,1,0,0,0,1,0.04827694858128925,0.04827694858128925
500,1,0,0,0,1,0.04823781395966451,0.04823781395966451
944,1,0,0,0,1,0.04801943166754794,0.04801943166754794
2068,1,0,0,0,1,0.0478355574499237,0.0478355574499237
1006,1,0,0,0,1,0.047675085727868965,0.047675085727868965
2571,1,0,0,0,1,0.04765468443142072,0.04765468443142072
952,1,0,0,0,1,0.04735633798022535,0.04735633798022535
38,1,0,0,0,1,0.04718542822446882,0.04718542822446882
508,1,0,0,0,1,0.046489065702114335,0.046489065702114335
2327,1,0,0,0,1,0.046280039671148986,0.046280039671148986
1522,1,0,0,0,1,0.04602956173143255,0.04602956173143255
516,1,0,0,0,1,0.04586649504199546,0.04586649504199546
713,1,0,0,0,1,0.045865155703569006,0.045865155703569006
855,1,0,0,0,1,0.045812554102584634,0.045812554102584634
1137,1,0,0,0,1,0.04540407232093687,0.04540407232093687
1497,1,0,0,0,1,0.04532005166283703,0.04532005166283703
394,1,0,0,0,1,0.04516121677415518,0.04516121677415518
1073,1,0,0,0,1,0.04497790303364666,0.04497790303364666
2583,1,0,0,0,1,0.044784333240035945,0.044784333240035945
2226,1,0,0,0,1,0.04433419743009754,0.04433419743009754
1409,1,0,0,0,1,0.044307365201769595,0.044307365201769595
407,1,0,0,0,1,0.04383976056433144,0.04383976056433144
667,1,0,0,0,1,0.043771742715355826,0.043771742715355826
86,1,0,0,0,1,0.043766296523031,0.043766296523031
308,1,0,0,0,1,0.04355650958148547,0.04355650958148547
545,1,0,0,0,1,0.04348572151544534,0.04348572151544534
918,1,0,0,0,1,0.0434012907627397,0.0434012907627397
1365,1,0,0,0,1,0.04322220620863755,0.04322220620863755
1021,1,0,0,0,1,0.04319471967495573,0.04319471967495573
1584,1,0,0,0,1,0.042900641680694476,0.042900641680694476
